customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2824-AXI41,Male,1,Yes,Yes,18,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),63.88,1142.95,No
6514-DCM22,Female,0,No,No,37,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Electronic check,94.16,3482.99,No
3664-LLG95,Female,0,Yes,Yes,42,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,97.89,4112.72,No
4483-UPM92,Female,1,Yes,Yes,40,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,79.19,3169.52,No
5119-RAV24,Female,0,No,No,29,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.69,2339.78,Yes
6947-ZJH17,Male,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),94.29,6226.57,No
9479-ODH38,Male,0,Yes,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,33.45,401.11,No
8744-HZP62,Male,1,No,No,50,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,87.62,4372.51,No
2604-BUR11,Male,0,Yes,Yes,38,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),62.58,2373.97,No
9883-BXK17,Male,0,Yes,Yes,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,35.55,843.99,Yes
9565-KIG95,Female,0,No,No,17,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),107.34,1828.85,No
9666-AVR48,Male,0,Yes,No,2,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),82.31,155.5,Yes
3143-UIF66,Female,0,Yes,Yes,22,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Mailed check,91.17,2002.81,No
7658-TXE40,Male,0,Yes,No,12,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),78.06,943.05,Yes
6000-ZHH13,Male,0,No,No,45,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),94.55,4264.43,Yes
4114-IBW65,Male,0,Yes,No,59,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),61.24,3621.22,No
5930-MRA48,Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,87.53,3754.71,No
2193-ONU83,Male,0,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,27.73,314.19,No
1822-RHD68,Male,0,No,No,45,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Mailed check,88.42,3970.45,No
5451-KKR20,Male,1,No,No,39,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),68.59,2672.81,No
7865-RXX79,Male,0,No,No,6,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),72.45,433.93,Yes
7211-KGO51,Female,0,No,No,18,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,83.17,1496.53,Yes
4571-OWI57,Male,0,Yes,Yes,14,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),77.45,1086.31,Yes
1672-LRN94,Female,1,No,Yes,40,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),74.75,2996.51,No
6280-HCI67,Male,0,No,No,44,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,76.33,3361.44,No
1282-CJH61,Male,0,No,No,48,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),73.44,3526.91,No
5636-DGJ39,Female,0,Yes,Yes,1,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),72.3,63.61,Yes
1878-EEZ82,Female,1,Yes,Yes,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),33.64,910.7,No
2625-YGU37,Female,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,104.48,209.85,Yes
5352-ECB31,Female,0,No,No,38,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,98.5,3746.45,Yes
1659-YYF70,Female,0,Yes,No,18,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,83.7,1503.07,No
7622-QAV79,Female,0,Yes,No,41,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,85.37,3492.03,No
2858-ODU29,Female,0,No,No,8,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),48.88,396.79,Yes
1042-JXJ85,Female,0,No,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,35.5,314.17,No
1715-KXP58,Female,0,Yes,No,34,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),85.86,2917.19,Yes
6383-VRM50,Female,0,Yes,Yes,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.82,244.1,Yes
3725-WJA15,Female,0,No,No,39,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),76.17,2978.61,No
5712-VRF19,Female,0,No,No,32,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,97.87,3136.74,No
5689-YZH87,Female,0,Yes,No,70,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),87.73,6133.74,No
6994-QQI31,Female,0,No,No,6,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),66.6,400.33,Yes
5295-SMU57,Male,0,No,Yes,27,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,94.22,2541.36,No
9850-NSX29,Female,0,No,No,36,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),72.14,2591.28,No
1349-BZK41,Male,0,Yes,Yes,26,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,82.42,2140.08,No
6304-AFI16,Male,0,Yes,Yes,65,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),64.48,4183.36,No
8267-CCK87,Male,1,No,No,61,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Two year,No,Mailed check,69.51,4247.87,No
8430-MNX22,Female,0,No,No,8,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),62.62,509.78,Yes
1842-JTJ55,Male,0,Yes,Yes,19,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),61.7,1167.77,No
6567-LAF28,Female,1,Yes,Yes,39,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),76.13,2968.78,Yes
5475-GYQ24,Female,0,No,No,32,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,117.4,3757.45,Yes
6802-CMX15,Female,1,Yes,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),37.32,1463.88,Yes
2734-HNS61,Male,0,No,No,3,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,95.72,292.36,Yes
3902-YUP69,Female,0,No,No,17,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,105.81,1798.91,Yes
1672-OZS93,Male,0,No,No,34,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),49.36,1675.01,No
6482-CKD81,Female,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,33.67,367.9,No
3093-VWX97,Male,0,No,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,32.58,158.82,No
9317-YRX77,Male,0,Yes,No,3,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),103.14,304.2,No
8684-GLV83,Female,0,No,No,23,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Mailed check,68.41,1581.54,Yes
8167-CHO54,Male,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,32.46,60.66,No
3273-YWP67,Male,0,Yes,No,3,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),105.68,307.37,Yes
4963-WEJ64,Male,0,Yes,No,11,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),76.73,841.17,Yes
4950-XVU23,Female,1,No,No,42,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),98.03,4117.57,No
9897-PIB92,Male,0,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),97.05,584.35,Yes
9937-JKD20,Female,0,No,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),35.98,1481.01,Yes
7655-LQZ96,Male,0,Yes,No,2,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),84.29,171.57,Yes
2858-AXF73,Female,0,Yes,No,55,No,No phone service,DSL,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),61.17,3368.54,No
5757-JFW99,Male,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),101.88,5711.75,Yes
6194-UCO69,Female,1,Yes,Yes,50,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),72.38,3615.06,No
9234-UFS84,Male,0,No,No,49,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),94.88,4655.21,No
5873-OCW17,Male,0,No,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,87.49,253.48,No
7850-HFK83,Female,0,Yes,No,32,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,No,Bank transfer (automatic),80.26,2575.26,No
